id,name,followers,genres,popularity,related_artists_count,related_artists_ids
4ADw50fLamm1eoQBm65lHL,DJ Cia,2918.0,['trap brasileiro'],50,20,7yeB6oM65lMbOBhPsu5fzq;5SwUeb4XF46E6uqRIRFPs4;4JOLUHjQd1JHJw5CASQg24;3dgsZxuMMvhcGiYQyrnnGK;6kk3sH0eFg9NLPmvUjJCJk
3iveSsIHvm1TAWhJRJ2z58,Marcelo Nova,51690.0,"['brazilian punk', 'brazilian rock', 'rock nacional brasileiro']",42,20,6kJHpEjr5eNnVJeyfTbs3G;1NG0y4OWAFilBtNB2Ey9jK;6hP7JNm3e4E0c5bldlKlO6;3zkkrMSBLHuTKMI6I3fDWi;2azqeHE13Y8hP8YAjew9zL
30zCgFx32RHel1qUOr7xuL,Leoni,379889.0,"['brazilian rock', 'mpb', 'nova mpb']",54,20,7n1XMwvxPf10t4OX6h6Ufy;3QLc39WR4dQAN1SgierGgE;3WVjDclrbHsxjxhiOqHdnw;3TbDeRrXw8SVnRWx9BkHeZ;4bOZtegYNmYOe3gMgPtt0H
1PA11Cy0SrjmwymvGS9h0C,509-E,235169.0,"['boom bap brasileiro', 'brazilian hip hop', 'funk ostentacao', 'rap abc paulista', 'rap nacional antigo']",47,20,1CQJtHMGhqvrSZiRTjSeOU;53eJax5oXY1SqAwVjSO7Uk;3V3rRpp5sbiBNY34AdnplK;7BUfNHoRQsXyJrIP1iIrAI;0MihNWp86Psp4ss7Evogvv
6kJHpEjr5eNnVJeyfTbs3G,Camisa de Vênus,189659.0,"['brazilian punk', 'brazilian rock', 'rock baiano', 'rock nacional brasileiro']",43,20,1NG0y4OWAFilBtNB2Ey9jK;2azqeHE13Y8hP8YAjew9zL;3iveSsIHvm1TAWhJRJ2z58;3zkkrMSBLHuTKMI6I3fDWi;09RGwhs3waXp27qkYuNRap
3ucYi2JRu3j12lHbfqms9u,Tianastacia,88158.0,"['brazilian punk', 'brazilian rock', 'rock mineiro']",39,20,7L5YQQJPL1wrmrdigJavV7;5AlUDdksfPP7l4Qm22MJA9;4Z0yuwHVJBROVZqFpTIr0d;6FvGIOpELnPLxPoyqotQ0Q;3zkkrMSBLHuTKMI6I3fDWi
4NSbUIfUAkaedUIm8eJ631,Pato Fu,142691.0,"['brazilian rock', 'mpb', 'musica infantil', 'nova mpb', 'rock alternativo brasileiro', 'rock mineiro', 'rock nacional brasileiro']",52,20,7L5YQQJPL1wrmrdigJavV7;3LWCuB9QxDmpLhhGwqU04N;3QLc39WR4dQAN1SgierGgE;1I3wpGfguTwQmBLtqw2H7A;7n1XMwvxPf10t4OX6h6Ufy
7cLvBjizqjjdC350aOQ2KW,Rappin' Hood,123223.0,"['brazilian hip hop', 'brazilian reggae', 'rap nacional antigo']",44,20,1CQJtHMGhqvrSZiRTjSeOU;53eJax5oXY1SqAwVjSO7Uk;5tHjOt4JaY81Rze0BsQwdE;4nvBf0lV2z3i1dDtuZjOxp;0MihNWp86Psp4ss7Evogvv
0VeXKzjTBWHX5Lf5Kr6rLF,Realidade Cruel,252300.0,"['brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",45,20,7BUfNHoRQsXyJrIP1iIrAI;0MihNWp86Psp4ss7Evogvv;1CQJtHMGhqvrSZiRTjSeOU;2S7yIFJha4ojzmMRAwTX2B;5SwUeb4XF46E6uqRIRFPs4
463Hk05MjkBYUyuB00luqt,Vera Loca,49794.0,"['brazilian rock', 'novo rock gaucho', 'rock gaucho']",41,20,44RSswMVuTQJcS0NpWZ2j9;2ZJAUr36IZp6pSiegYWRJP;4LsoTx0qmsoWqRmrp0FDwd;2vUVCJVuw1Awm6G84cqhcc;03tVZ2sA0yyShSEgFdBpYX
2O7dDVdUrHpSTg6qdrSWFy,Pouca Vogal,127385.0,"['brazilian rock', 'folk brasileiro', 'rock gaucho']",43,20,3bKO3mmizIpDdwNVdp96B9;0GNq4xh8uFCyihPurnunf7;6YAoy8rSw2zLwE09K177UD;7L5YQQJPL1wrmrdigJavV7;4A4HpNHrbu2nzPyIGFTaJ5
29bYY1WyOuJ3Z2jxYhT7kM,Yahoo,47110.0,['rock nacional brasileiro'],40,20,4KWRrTJoM6MhOq3UTYctJV;6zg73gIYCTCBvxgcKFDACs;7hj6TfWecHlMmeUPwiAazv;2TjzEhCBd9s3YPWKPwKZYo;5uHbOCvAcZY8u7C5PCs3dN
7q1dPac1mIOp9NZX12ApbW,Leo Gandelman,5710.0,['brazilian jazz'],37,20,39qgO7z0i5J0NbyMQ4IZvt;1MzXJ8AaHdidMAnjgcahS4;0PMk31f9Log4ixwUUY40p6;0CZUWwdL2ORR99b91hqjdq;6ZnwtQznVleZpEkQINdyfG
