track_id,track_name,artists,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5OLWhgBWQYUN6llsmYkPGp,Bad Moon Rising - Remastered 1985,Creedence Clearwater Revival,Spooky Scary Season,0,139279,False,0.621,0.85,2,-4.203,1,0.0311,0.0221,1.52e-06,0.0581,0.923,89.497,4,country
4j5ffIFh7bFT7GZciP1TCy,"10,000 Hours (with Justin Bieber)",Dan + Shay;Justin Bieber,Good Things,70,167693,False,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991,4,country
6Xf8iYxVkoNXqWB0Yjgcpb,"10,000 Hours",Dan + Shay;Justin Bieber,Music for Rainy Days,0,167693,False,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991,4,country
3ovpz51ql3sXfcDc66DNFb,Country Again,Thomas Rhett,Country USA,0,221240,False,0.467,0.481,2,-6.947,1,0.0255,0.227,0.000189,0.11,0.248,147.886,4,country
7BccBkxwRLREpmLjZtZVfd,You,Dan + Shay,New Country Hits,0,196253,False,0.544,0.572,0,-6.205,1,0.0319,0.118,0.0,0.234,0.52,169.885,4,country
5Ry3XVXK0nINrrH84IoO3W,"10,000 Hours",Dan + Shay;Justin Bieber,Cozy Country,0,167693,False,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991,4,country
7oTUCpSwd2yVIUnzT5uaIv,Glad You Exist,Dan + Shay,Relaxing Pop,1,144760,False,0.741,0.499,11,-8.035,1,0.0356,0.23,0.0,0.125,0.692,103.96,4,country
2o2UZk7OFL6QeMUOZW7RnH,You,Dan + Shay,All That Really Matters - Just Hits,0,196253,False,0.544,0.572,0,-6.205,1,0.0319,0.118,0.0,0.234,0.52,169.885,4,country
1s4GtzDwUCQPdvkb7vXBUc,Glad You Exist,Dan + Shay,20s Love Songs,1,144760,False,0.741,0.499,11,-8.035,1,0.0356,0.23,0.0,0.125,0.692,103.96,4,country
5SfNJC5gLHSsyRKN04jVi3,Alone Together,Dan + Shay,Good Times Country,0,171440,False,0.541,0.871,1,-4.741,1,0.122,0.00527,0.0,0.0867,0.666,179.973,4,country
